mass_A
t,x,y
0.000000000E0,2.516616003E-1,-4.401986792E-1
3.500000000E-2,2.480327249E-1,-4.417834160E-1
6.833333333E-2,2.384494156E-1,-4.462403597E-1
1.016666667E-1,2.020267834E-1,-4.567274515E-1
1.350000000E-1,1.864939211E-1,-4.614621862E-1
1.683333333E-1,1.465040763E-1,-4.740128226E-1
2.016666667E-1,1.173611284E-1,-4.826537494E-1
2.350000000E-1,8.712006215E-2,-4.886717965E-1
2.683333333E-1,5.642691310E-2,-4.926552247E-1
3.016666667E-1,2.719146810E-2,-4.996837710E-1
3.350000000E-1,-3.278984720E-3,-5.078290559E-1
3.683333333E-1,-2.919301606E-2,-5.205276290E-1
4.016666667E-1,-5.743089171E-2,-5.349648350E-1
4.350000000E-1,-9.034142494E-2,-5.458062773E-1
4.683333333E-1,-1.247164231E-1,-5.525506848E-1
5.016666667E-1,-1.586355089E-1,-5.552020247E-1
5.350000000E-1,-1.902177502E-1,-5.545919973E-1
5.683333333E-1,-2.184547848E-1,-5.503925839E-1
6.016666667E-1,-2.406869262E-1,-5.453052216E-1
6.350000000E-1,-2.534093014E-1,-5.389634314E-1
6.683333333E-1,-2.550889387E-1,-5.316385246E-1
7.016666667E-1,-2.484751562E-1,-5.232934585E-1
7.350000000E-1,-2.340647056E-1,-5.136211774E-1
7.683333333E-1,-2.131355086E-1,-5.040597481E-1
8.016666667E-1,-1.876983220E-1,-4.949972823E-1
8.350000000E-1,-1.601350889E-1,-4.833665146E-1
8.683333333E-1,-1.325141024E-1,-4.698401215E-1
9.016666667E-1,-1.043672489E-1,-4.548491637E-1
9.350000000E-1,-7.569310569E-2,-4.415717655E-1
9.683333333E-1,-4.693063713E-2,-4.326793082E-1
1.001666667E0,-1.911946008E-2,-4.304246075E-1
1.035000000E0,7.031508506E-3,-4.300269454E-1
1.068333333E0,3.712951585E-2,-4.344406459E-1
1.101666667E0,6.848594681E-2,-4.421427054E-1
1.135000000E0,1.023304356E-1,-4.516464730E-1
1.168333333E0,1.339119978E-1,-4.619894695E-1
1.201666667E0,1.637126445E-1,-4.731241629E-1
1.235000000E0,1.894260397E-1,-4.847183209E-1
1.268333333E0,2.068601466E-1,-4.968783969E-1
1.301666667E0,2.217611297E-1,-5.095199428E-1
1.335000000E0,2.276366380E-1,-5.210529553E-1
1.368333333E0,2.228564400E-1,-5.326446756E-1
1.401666667E0,2.113584010E-1,-5.425756093E-1
1.435000000E0,1.972471044E-1,-5.487572931E-1
1.468333333E0,1.744303021E-1,-5.538566969E-1
1.501666667E0,1.479081667E-1,-5.559452117E-1
1.535000000E0,1.201113328E-1,-5.547474353E-1
1.568333333E0,9.106621649E-2,-5.509205808E-1
1.601666667E0,5.981577155E-2,-5.461613292E-1
1.635000000E0,2.864922326E-2,-5.399179749E-1
1.668333333E0,-6.946645122E-3,-5.333487669E-1
1.701666667E0,-4.152676391E-2,-5.269446608E-1
1.735000000E0,-7.663257624E-2,-5.194623624E-1
1.768333333E0,-1.106394208E-1,-5.110005665E-1
1.801666667E0,-1.427481655E-1,-5.024539236E-1
1.835000000E0,-1.718996530E-1,-4.939323103E-1
1.868333333E0,-1.973871956E-1,-4.854246077E-1
1.901666667E0,-2.178621609E-1,-4.774165802E-1
1.935000000E0,-2.326081458E-1,-4.702523552E-1
1.968333333E0,-2.407176586E-1,-4.637770983E-1
2.001666667E0,-2.422811409E-1,-4.584859067E-1
2.035000000E0,-2.380844393E-1,-4.543085673E-1
2.068333333E0,-2.284175080E-1,-4.513738427E-1
2.101666667E0,-2.132001646E-1,-4.495329312E-1
2.135000000E0,-1.943805149E-1,-4.483178885E-1
2.168333333E0,-1.733880236E-1,-4.476223824E-1
2.201666667E0,-1.497181286E-1,-4.482688502E-1
2.235000000E0,-1.235626162E-1,-4.508939393E-1
2.268333333E0,-9.512487740E-2,-4.560638497E-1
2.303333333E0,-6.424212922E-2,-4.638424164E-1
2.336666667E0,-3.203173099E-2,-4.745288746E-1
2.370000000E0,1.651126586E-3,-4.881898932E-1
2.403333333E0,3.680943925E-2,-5.025130836E-1
2.436666667E0,7.196892325E-2,-5.175257798E-1
2.470000000E0,1.057006191E-1,-5.323888716E-1
2.503333333E0,1.348911876E-1,-5.461365491E-1
2.536666667E0,1.615550659E-1,-5.581074186E-1
2.570000000E0,1.836949066E-1,-5.677134326E-1
2.603333333E0,1.996360684E-1,-5.743942308E-1
2.636666667E0,2.157134605E-1,-5.698098622E-1
2.670000000E0,2.193886413E-1,-5.698406807E-1
2.703333333E0,2.170175005E-1,-5.664366743E-1
2.736666667E0,2.091057764E-1,-5.598743621E-1
2.770000000E0,1.955333652E-1,-5.499983603E-1
2.803333333E0,1.770957755E-1,-5.372161192E-1
2.836666667E0,1.537370925E-1,-5.222728600E-1
2.870000000E0,1.271737202E-1,-5.066067133E-1
2.903333333E0,9.735853957E-2,-4.908621157E-1
2.936666667E0,6.478516741E-2,-4.759543000E-1
2.970000000E0,3.068128643E-2,-4.626751105E-1
3.003333333E0,-4.947765554E-3,-4.516690322E-1
3.036666667E0,-3.972652002E-2,-4.432324569E-1
3.070000000E0,-7.221729713E-2,-4.380005847E-1
3.103333333E0,-1.035990220E-1,-4.354438387E-1
3.136666667E0,-1.317672809E-1,-4.358491430E-1
3.170000000E0,-1.580416986E-1,-4.388240291E-1
3.203333333E0,-1.810623568E-1,-4.436762999E-1
3.236666667E0,-2.007302647E-1,-4.501839273E-1
3.270000000E0,-2.167495186E-1,-4.582835393E-1
3.303333333E0,-2.290497243E-1,-4.667054156E-1
3.336666667E0,-2.359859105E-1,-4.753637194E-1
3.370000000E0,-2.374115740E-1,-4.836584408E-1
3.403333333E0,-2.330828575E-1,-4.916687296E-1
3.436666667E0,-2.231439545E-1,-4.999699223E-1
3.470000000E0,-2.069827034E-1,-5.075505707E-1
3.503333333E0,-1.854781593E-1,-5.146519808E-1
3.536666667E0,-1.582190401E-1,-5.207750011E-1
3.570000000E0,-1.276114852E-1,-5.263362929E-1
3.603333333E0,-9.350707228E-2,-5.307748202E-1
3.636666667E0,-5.842925336E-2,-5.343018052E-1
3.670000000E0,-2.250601133E-2,-5.368118190E-1
3.703333333E0,1.134224817E-2,-5.383022746E-1
3.736666667E0,4.829783130E-2,-5.404038715E-1
3.770000000E0,8.254486833E-2,-5.407729726E-1
3.803333333E0,1.142157949E-1,-5.397385991E-1
3.836666667E0,1.424694989E-1,-5.370158341E-1
3.870000000E0,1.672964202E-1,-5.329097686E-1
3.903333333E0,1.887252613E-1,-5.270021639E-1
3.936666667E0,2.043600457E-1,-5.195765723E-1
3.970000000E0,2.159679677E-1,-5.106774681E-1
4.003333333E0,2.199860680E-1,-5.011954035E-1
4.036666667E0,2.190717698E-1,-4.903666373E-1
4.070000000E0,2.117373972E-1,-4.800859218E-1
4.103333333E0,2.001554433E-1,-4.690045814E-1
4.136666667E0,1.819353457E-1,-4.590750920E-1
4.170000000E0,1.582884554E-1,-4.506436317E-1
4.203333333E0,1.317513461E-1,-4.438790463E-1
4.236666667E0,1.023019976E-1,-4.392160036E-1
4.270000000E0,7.118418176E-2,-4.368353501E-1
4.303333333E0,3.934366903E-2,-4.388515659E-1
4.336666667E0,6.916485189E-3,-4.436282470E-1
4.370000000E0,-2.455174056E-2,-4.512217412E-1
4.403333333E0,-5.561218309E-2,-4.618879574E-1
4.436666667E0,-8.562023260E-2,-4.747159648E-1
4.470000000E0,-1.155362204E-1,-4.891293528E-1
4.503333333E0,-1.435222290E-1,-5.039985090E-1
4.536666667E0,-1.692903181E-1,-5.183743961E-1
4.570000000E0,-1.919167321E-1,-5.315433944E-1
4.603333333E0,-2.103308179E-1,-5.423470618E-1
4.638333333E0,-2.244962806E-1,-5.510504156E-1
4.671666667E0,-2.323839405E-1,-5.573681242E-1
4.705000000E0,-2.339773777E-1,-5.615123026E-1
4.738333333E0,-2.285001239E-1,-5.627880014E-1
4.771666667E0,-2.154765710E-1,-5.614696316E-1
4.805000000E0,-1.968471062E-1,-5.576696767E-1
4.838333333E0,-1.727172535E-1,-5.514982005E-1
4.871666667E0,-1.450203511E-1,-5.430245548E-1
4.905000000E0,-1.144584536E-1,-5.327132591E-1
4.938333333E0,-8.192088494E-2,-5.208724008E-1
4.971666667E0,-4.833202120E-2,-5.079703899E-1
5.005000000E0,-1.492937105E-2,-4.957861918E-1
5.038333333E0,1.491885776E-2,-4.852102965E-1
5.071666667E0,4.963300127E-2,-4.760038234E-1
5.105000000E0,8.062762502E-2,-4.688235589E-1
5.138333333E0,1.102949512E-1,-4.637475121E-1
5.171666667E0,1.375179889E-1,-4.605830802E-1
5.205000000E0,1.625098683E-1,-4.589383170E-1
5.238333333E0,1.846193426E-1,-4.583417000E-1
5.271666667E0,2.016219027E-1,-4.588326886E-1
5.305000000E0,2.116883254E-1,-4.615338715E-1
5.338333333E0,2.199656545E-1,-4.635576824E-1
5.371666667E0,2.217520658E-1,-4.670951135E-1
5.405000000E0,2.159612604E-1,-4.720460707E-1
5.438333333E0,2.061852801E-1,-4.767313697E-1
5.471666667E0,1.898375836E-1,-4.825823966E-1
5.505000000E0,1.683204667E-1,-4.889045575E-1
5.538333333E0,1.426009170E-1,-4.954045973E-1
5.571666667E0,1.141625902E-1,-5.020090942E-1
5.605000000E0,8.267766695E-2,-5.089412618E-1
5.638333333E0,4.924838831E-2,-5.163417249E-1
5.671666667E0,1.371655813E-2,-5.242035768E-1
5.705000000E0,-1.757031840E-2,-5.320129227E-1
5.738333333E0,-5.324352092E-2,-5.388276660E-1
5.771666667E0,-8.675275474E-2,-5.451954998E-1
5.805000000E0,-1.185572333E-1,-5.501047253E-1
5.838333333E0,-1.482309938E-1,-5.530998881E-1
5.871666667E0,-1.747536267E-1,-5.540193107E-1
5.905000000E0,-1.972936758E-1,-5.524138598E-1
5.938333333E0,-2.146796186E-1,-5.485703423E-1
