mass_A
t,x,y
3.336666667E0,1.964235092E-1,-3.336265093E-1
3.370000000E0,1.848143222E-1,-3.410912182E-1
3.403333333E0,1.646159855E-1,-3.438734085E-1
3.436666667E0,1.341716622E-1,-3.434631748E-1
3.470000000E0,1.002297969E-1,-3.382863608E-1
3.503333333E0,6.169995592E-2,-3.304575190E-1
3.536666667E0,2.113012952E-2,-3.209727535E-1
3.570000000E0,-2.077213657E-2,-3.106514712E-1
3.603333333E0,-6.106313882E-2,-2.998692613E-1
3.636666667E0,-9.913761103E-2,-2.894634084E-1
3.670000000E0,-1.333401494E-1,-2.799135516E-1
3.703333333E0,-1.631155982E-1,-2.711436582E-1
3.736666667E0,-1.872171856E-1,-2.624756409E-1
3.770000000E0,-2.038229001E-1,-2.548149247E-1
3.803333333E0,-2.124028495E-1,-2.488659441E-1
3.836666667E0,-2.131052714E-1,-2.441170477E-1
3.870000000E0,-2.052600918E-1,-2.404713227E-1
3.903333333E0,-1.896022251E-1,-2.383011039E-1
3.936666667E0,-1.672759474E-1,-2.388539277E-1
3.970000000E0,-1.392905448E-1,-2.421505845E-1
4.003333333E0,-1.071160286E-1,-2.483047788E-1
4.036666667E0,-7.323229650E-2,-2.575181560E-1
4.070000000E0,-3.667374874E-2,-2.694108662E-1
4.103333333E0,5.841843180E-4,-2.847818285E-1
4.136666667E0,3.931815070E-2,-3.021727202E-1
4.170000000E0,7.697212523E-2,-3.196527216E-1
4.203333333E0,1.105821523E-1,-3.358605111E-1
4.236666667E0,1.405224393E-1,-3.495336778E-1
4.270000000E0,1.645639562E-1,-3.587631197E-1
4.303333333E0,1.802097485E-1,-3.628313433E-1
4.336666667E0,1.860527290E-1,-3.614759649E-1
4.370000000E0,1.834659474E-1,-3.551361266E-1
4.403333333E0,1.727372881E-1,-3.428936196E-1
4.436666667E0,1.534261162E-1,-3.253174713E-1
4.470000000E0,1.255513163E-1,-3.062623524E-1
4.503333333E0,9.433225037E-2,-2.863211284E-1
4.536666667E0,5.943554780E-2,-2.667933704E-1
4.570000000E0,2.414592261E-2,-2.498192146E-1
4.603333333E0,-1.184092779E-2,-2.370699400E-1
4.636666667E0,-4.909118370E-2,-2.306996437E-1
4.670000000E0,-8.333939052E-2,-2.295677668E-1
4.703333333E0,-1.167644809E-1,-2.325317336E-1
4.736666667E0,-1.476226706E-1,-2.392910457E-1
4.770000000E0,-1.736278285E-1,-2.485877993E-1
4.803333333E0,-1.929036893E-1,-2.599507470E-1
4.836666667E0,-2.045759453E-1,-2.721455007E-1
4.870000000E0,-2.082374223E-1,-2.854521755E-1
4.903333333E0,-2.035053784E-1,-2.969604825E-1
4.936666667E0,-1.905252436E-1,-3.068677594E-1
4.970000000E0,-1.690233035E-1,-3.149389030E-1
5.003333333E0,-1.409790489E-1,-3.211072907E-1
5.036666667E0,-1.072279690E-1,-3.246361468E-1
5.070000000E0,-7.008799066E-2,-3.257688886E-1
5.103333333E0,-2.955007858E-2,-3.253663012E-1
5.136666667E0,1.012158079E-2,-3.238676319E-1
5.170000000E0,5.340088023E-2,-3.218605496E-1
5.203333333E0,9.252810590E-2,-3.171424921E-1
5.236666667E0,1.267777841E-1,-3.122776376E-1
5.270000000E0,1.580235093E-1,-3.046969100E-1
5.303333333E0,1.804697332E-1,-2.964290729E-1
5.336666667E0,1.956166069E-1,-2.870082103E-1
5.371666667E0,2.030819182E-1,-2.754009828E-1
5.405000000E0,2.006132221E-1,-2.636539695E-1
5.438333333E0,1.897095803E-1,-2.532651921E-1
5.471666667E0,1.711822012E-1,-2.434522787E-1
5.505000000E0,1.453076788E-1,-2.361978724E-1
5.538333333E0,1.136708740E-1,-2.330593655E-1
5.571666667E0,8.014080596E-2,-2.336219367E-1
5.605000000E0,4.516933000E-2,-2.376631523E-1
5.638333333E0,9.691599027E-3,-2.470186094E-1
5.671666667E0,-2.785149963E-2,-2.620418019E-1
5.705000000E0,-6.319573469E-2,-2.797898705E-1
5.738333333E0,-9.812851691E-2,-2.974314555E-1
5.771666667E0,-1.309691560E-1,-3.160202953E-1
5.805000000E0,-1.580961885E-1,-3.325992277E-1
5.838333333E0,-1.784344460E-1,-3.469587913E-1
5.871666667E0,-1.903829981E-1,-3.563812007E-1
5.905000000E0,-1.943691675E-1,-3.606835190E-1
5.938333333E0,-1.893729008E-1,-3.597753600E-1
5.971666667E0,-1.756735231E-1,-3.543355824E-1
6.005000000E0,-1.545331058E-1,-3.437995868E-1
6.038333333E0,-1.266457498E-1,-3.291956384E-1
6.071666667E0,-9.348112382E-2,-3.128187481E-1
6.105000000E0,-5.736892025E-2,-2.945956522E-1
6.138333333E0,-1.511914706E-2,-2.777465149E-1
6.171666667E0,1.784200541E-2,-2.618237881E-1
6.205000000E0,5.372928544E-2,-2.494597515E-1
6.238333333E0,8.892133040E-2,-2.423601748E-1
6.271666667E0,1.185361063E-1,-2.385945025E-1
6.305000000E0,1.489307809E-1,-2.378466737E-1
6.338333333E0,1.727716275E-1,-2.413994132E-1
6.371666667E0,1.906600292E-1,-2.467397994E-1
6.405000000E0,1.996832721E-1,-2.534361537E-1
6.438333333E0,2.015905597E-1,-2.616570700E-1
6.471666667E0,1.939857624E-1,-2.705252486E-1
6.505000000E0,1.775883140E-1,-2.799610721E-1
6.538333333E0,1.561493394E-1,-2.879730768E-1
6.571666667E0,1.261018942E-1,-2.966562885E-1
6.605000000E0,9.254962605E-2,-3.045616508E-1
6.638333333E0,5.471252926E-2,-3.128660069E-1
6.671666667E0,1.336786973E-2,-3.203226074E-1
6.705000000E0,-2.882067461E-2,-3.289891840E-1
6.738333333E0,-6.647458863E-2,-3.323186721E-1
6.771666667E0,-1.043092189E-1,-3.351584145E-1
6.805000000E0,-1.375324257E-1,-3.353327420E-1
6.838333333E0,-1.653841289E-1,-3.322697182E-1
6.871666667E0,-1.857302478E-1,-3.261698469E-1
6.905000000E0,-1.979599277E-1,-3.173767810E-1
6.938333333E0,-2.014327590E-1,-3.055933216E-1
6.971666667E0,-1.959354943E-1,-2.910697932E-1
7.005000000E0,-1.832944490E-1,-2.767710543E-1
7.038333333E0,-1.632675963E-1,-2.624145243E-1
7.071666667E0,-1.370793749E-1,-2.495520476E-1
7.105000000E0,-1.062072516E-1,-2.398664711E-1
7.138333333E0,-7.305693963E-2,-2.328978420E-1
7.171666667E0,-3.826017322E-2,-2.304237463E-1
7.205000000E0,-3.669077576E-3,-2.322258641E-1
7.238333333E0,3.048951174E-2,-2.402119061E-1
7.271666667E0,6.483314923E-2,-2.540319596E-1
7.305000000E0,9.829361877E-2,-2.704943094E-1
7.338333333E0,1.284784577E-1,-2.888580040E-1
7.371666667E0,1.547690722E-1,-3.069789902E-1
7.405000000E0,1.729611319E-1,-3.240513342E-1
7.438333333E0,1.836648842E-1,-3.381137427E-1
7.471666667E0,1.864256866E-1,-3.485997950E-1
7.505000000E0,1.800740718E-1,-3.539514532E-1
7.538333333E0,1.651307887E-1,-3.537800223E-1
7.571666667E0,1.422242430E-1,-3.493291971E-1
7.605000000E0,1.118221306E-1,-3.403210923E-1
7.638333333E0,7.809169672E-2,-3.280676763E-1
7.673333333E0,3.972794802E-2,-3.145580639E-1
7.706666667E0,6.744599329E-4,-3.001882786E-1
7.740000000E0,-3.681071073E-2,-2.859674258E-1
7.773333333E0,-7.478219869E-2,-2.740306935E-1
7.806666667E0,-1.076512935E-1,-2.644108453E-1
7.840000000E0,-1.396154770E-1,-2.563355537E-1
7.873333333E0,-1.667172768E-1,-2.506038869E-1
7.906666667E0,-1.875209954E-1,-2.469681714E-1
7.940000000E0,-2.009083464E-1,-2.456785560E-1
7.973333333E0,-2.068681390E-1,-2.459112666E-1
8.006666667E0,-2.051327253E-1,-2.472126413E-1
8.040000000E0,-1.954555841E-1,-2.500507347E-1
8.073333333E0,-1.782332756E-1,-2.545461903E-1
8.106666667E0,-1.543465145E-1,-2.610009523E-1
8.140000000E0,-1.255748366E-1,-2.691099253E-1
8.173333333E0,-9.272354766E-2,-2.781603951E-1
8.206666667E0,-5.750767287E-2,-2.883422035E-1
8.240000000E0,-2.115337463E-2,-2.999310436E-1
8.273333333E0,1.755091312E-2,-3.130581652E-1
8.306666667E0,5.669452084E-2,-3.256589613E-1
8.340000000E0,9.308969343E-2,-3.364802350E-1
8.373333333E0,1.246887879E-1,-3.446663880E-1
8.406666667E0,1.526472735E-1,-3.491637533E-1
8.440000000E0,1.718049440E-1,-3.494357994E-1
8.473333333E0,1.834509868E-1,-3.449941393E-1
8.506666667E0,1.863431496E-1,-3.363257575E-1
8.540000000E0,1.803282422E-1,-3.232991928E-1
8.573333333E0,1.664042896E-1,-3.073029040E-1
8.606666667E0,1.437433122E-1,-2.891407061E-1
8.640000000E0,1.154917650E-1,-2.719985623E-1
8.673333333E0,8.433280346E-2,-2.554580899E-1
8.706666667E0,4.982649388E-2,-2.415884983E-1
8.740000000E0,1.327304525E-2,-2.325972061E-1
8.773333333E0,-2.023062864E-2,-2.292100152E-1
8.806666667E0,-5.464729340E-2,-2.323793032E-1
8.840000000E0,-8.737744730E-2,-2.394408951E-1
8.873333333E0,-1.195356910E-1,-2.505477186E-1
8.906666667E0,-1.486735082E-1,-2.637308411E-1
8.940000000E0,-1.724020878E-1,-2.783137095E-1
8.973333333E0,-1.880062184E-1,-2.938630468E-1
9.006666667E0,-1.975619176E-1,-3.083599363E-1
9.040000000E0,-1.982853027E-1,-3.205053020E-1
9.073333333E0,-1.907165529E-1,-3.296828045E-1
9.106666667E0,-1.741444717E-1,-3.352757748E-1
9.140000000E0,-1.501852961E-1,-3.376175379E-1
9.173333333E0,-1.204098466E-1,-3.361633353E-1
9.206666667E0,-8.621970659E-2,-3.314029793E-1
9.240000000E0,-4.849081398E-2,-3.243602170E-1
9.273333333E0,-9.305914728E-3,-3.160905064E-1
9.306666667E0,2.947977654E-2,-3.068235154E-1
9.340000000E0,6.770374885E-2,-2.990366115E-1
9.373333333E0,1.019836003E-1,-2.900203413E-1
9.406666667E0,1.329651567E-1,-2.818479282E-1
9.440000000E0,1.591509207E-1,-2.739286134E-1
9.473333333E0,1.772964131E-1,-2.681278658E-1
9.506666667E0,1.918720737E-1,-2.603203074E-1
9.540000000E0,1.951106486E-1,-2.547628426E-1
9.573333333E0,1.912698427E-1,-2.502874529E-1
9.606666667E0,1.799325931E-1,-2.464303417E-1
9.640000000E0,1.611188270E-1,-2.445725736E-1
9.673333333E0,1.346378800E-1,-2.452858876E-1
9.706666667E0,1.039257279E-1,-2.487329668E-1
9.740000000E0,7.290494427E-2,-2.554252076E-1
9.773333333E0,3.800239149E-2,-2.655333821E-1
9.806666667E0,1.394945956E-3,-2.782725843E-1
9.840000000E0,-3.474863476E-2,-2.936935061E-1
9.873333333E0,-7.163149035E-2,-3.103806123E-1
9.906666667E0,-1.056612579E-1,-3.257254884E-1
9.941666667E0,-1.363592780E-1,-3.388836951E-1
9.975000000E0,-1.611910192E-1,-3.490234502E-1
1.000833333E1,-1.787789259E-1,-3.547739985E-1
1.004166667E1,-1.884950489E-1,-3.559326807E-1
1.007500000E1,-1.894117312E-1,-3.518594191E-1
1.010833333E1,-1.822663294E-1,-3.429821848E-1
