0.000,0.199,-0.365,0.416,0.007,0.50,0.02
0.033,0.199,-0.364,0.415,0.007,0.50,0.02
0.067,0.199,-0.362,0.413,0.007,0.50,0.02
0.100,0.198,-0.359,0.410,0.007,0.50,0.02
0.133,0.188,-0.344,0.392,0.007,0.50,0.02
0.167,0.155,-0.330,0.365,0.007,0.44,0.02
0.200,0.121,-0.309,0.332,0.006,0.37,0.02
0.234,0.087,-0.279,0.292,0.006,0.30,0.02
0.267,0.052,-0.244,0.250,0.006,0.21,0.02
0.300,0.016,-0.217,0.217,0.005,0.08,0.02
0.334,-0.011,-0.196,0.197,0.005,-0.06,0.03
0.367,-0.046,-0.184,0.189,0.006,-0.24,0.03
0.400,-0.079,-0.180,0.197,0.007,-0.41,0.03
0.434,-0.114,-0.187,0.219,0.007,-0.55,0.03
0.467,-0.148,-0.198,0.247,0.007,-0.64,0.03
0.500,-0.178,-0.208,0.274,0.007,-0.71,0.03
0.534,-0.202,-0.219,0.298,0.007,-0.75,0.02
0.567,-0.219,-0.230,0.317,0.007,-0.76,0.02
0.601,-0.224,-0.243,0.331,0.007,-0.74,0.02
0.634,-0.216,-0.258,0.336,0.007,-0.70,0.02
0.667,-0.194,-0.274,0.336,0.007,-0.62,0.02
0.701,-0.163,-0.286,0.329,0.007,-0.52,0.02
0.734,-0.128,-0.297,0.323,0.007,-0.41,0.02
0.767,-0.090,-0.301,0.315,0.006,-0.29,0.02
0.801,-0.049,-0.301,0.305,0.006,-0.16,0.02
0.834,-0.005,-0.304,0.304,0.005,-0.02,0.02
0.868,0.036,-0.306,0.308,0.006,0.12,0.02
0.901,0.084,-0.303,0.314,0.006,0.27,0.02
0.934,0.128,-0.297,0.323,0.007,0.41,0.02
0.968,0.170,-0.289,0.335,0.007,0.53,0.02
1.001,0.199,-0.278,0.342,0.007,0.62,0.02
1.034,0.215,-0.266,0.342,0.007,0.68,0.02
1.068,0.221,-0.254,0.336,0.007,0.72,0.02
1.101,0.216,-0.240,0.323,0.007,0.73,0.02
1.134,0.204,-0.226,0.304,0.007,0.73,0.02
1.168,0.181,-0.212,0.278,0.007,0.71,0.03
1.201,0.154,-0.198,0.251,0.007,0.66,0.03
1.235,0.120,-0.190,0.225,0.007,0.56,0.03
1.268,0.085,-0.189,0.207,0.007,0.42,0.03
1.301,0.046,-0.196,0.201,0.006,0.23,0.03
1.335,0.007,-0.211,0.211,0.005,0.03,0.02
1.368,-0.031,-0.229,0.231,0.006,-0.13,0.02
1.401,-0.066,-0.254,0.262,0.006,-0.25,0.02
1.435,-0.098,-0.281,0.297,0.006,-0.34,0.02
1.468,-0.128,-0.310,0.336,0.007,-0.39,0.02
1.502,-0.156,-0.335,0.370,0.007,-0.44,0.02
1.535,-0.178,-0.351,0.394,0.007,-0.47,0.02
1.568,-0.192,-0.359,0.407,0.007,-0.49,0.02
1.602,-0.191,-0.354,0.402,0.007,-0.49,0.02
1.635,-0.179,-0.347,0.390,0.007,-0.48,0.02
1.668,-0.157,-0.335,0.370,0.007,-0.44,0.02
1.702,-0.126,-0.314,0.338,0.007,-0.38,0.02
1.735,-0.091,-0.286,0.301,0.006,-0.31,0.02
1.768,-0.057,-0.258,0.264,0.006,-0.22,0.02
1.802,-0.021,-0.230,0.231,0.005,-0.09,0.02
1.835,0.015,-0.208,0.208,0.005,0.07,0.03
1.869,0.052,-0.196,0.203,0.006,0.26,0.03
1.902,0.089,-0.190,0.210,0.007,0.44,0.03
1.935,0.123,-0.192,0.228,0.007,0.57,0.03
1.969,0.156,-0.200,0.253,0.007,0.66,0.03
2.002,0.182,-0.211,0.279,0.007,0.71,0.03
2.035,0.205,-0.224,0.303,0.007,0.74,0.02
2.069,0.219,-0.236,0.322,0.007,0.75,0.02
2.102,0.223,-0.248,0.333,0.007,0.73,0.02
2.135,0.215,-0.260,0.338,0.007,0.69,0.02
2.169,0.198,-0.272,0.336,0.007,0.63,0.02
2.202,0.169,-0.283,0.330,0.007,0.54,0.02
2.236,0.129,-0.293,0.320,0.007,0.41,0.02
2.269,0.087,-0.300,0.312,0.006,0.28,0.02
2.302,0.042,-0.304,0.307,0.006,0.14,0.02
2.336,-0.001,-0.307,0.307,0.005,-0.00,0.02
2.369,-0.044,-0.309,0.312,0.006,-0.14,0.02
2.402,-0.085,-0.310,0.322,0.006,-0.27,0.02
2.436,-0.125,-0.309,0.333,0.007,-0.39,0.02
2.469,-0.163,-0.302,0.343,0.007,-0.49,0.02
2.502,-0.193,-0.292,0.350,0.007,-0.58,0.02
2.536,-0.212,-0.280,0.351,0.007,-0.65,0.02
2.569,-0.220,-0.265,0.344,0.007,-0.69,0.02
2.603,-0.216,-0.249,0.329,0.007,-0.71,0.02
2.636,-0.201,-0.232,0.307,0.007,-0.71,0.02
2.669,-0.176,-0.214,0.277,0.007,-0.69,0.03
2.703,-0.151,-0.201,0.251,0.007,-0.64,0.03
2.736,-0.121,-0.191,0.226,0.007,-0.56,0.03
2.769,-0.088,-0.187,0.207,0.007,-0.44,0.03
2.803,-0.053,-0.192,0.199,0.006,-0.27,0.03
2.836,-0.017,-0.202,0.203,0.005,-0.08,0.03
2.870,0.016,-0.219,0.220,0.005,0.08,0.02
2.903,0.052,-0.244,0.249,0.006,0.21,0.02
2.936,0.083,-0.272,0.284,0.006,0.29,0.02
2.970,0.114,-0.304,0.325,0.006,0.36,0.02
3.003,0.143,-0.330,0.359,0.007,0.41,0.02
3.036,0.168,-0.350,0.388,0.007,0.45,0.02
3.070,0.180,-0.360,0.402,0.007,0.46,0.02
3.103,0.181,-0.363,0.406,0.007,0.46,0.02
3.136,0.173,-0.359,0.398,0.007,0.45,0.02
3.170,0.151,-0.345,0.377,0.007,0.41,0.02
3.203,0.120,-0.325,0.346,0.006,0.35,0.02
3.237,0.087,-0.299,0.311,0.006,0.28,0.02
3.270,0.053,-0.272,0.277,0.006,0.19,0.02
3.303,0.016,-0.245,0.245,0.005,0.07,0.02
3.337,-0.016,-0.221,0.222,0.005,-0.07,0.02
3.370,-0.053,-0.207,0.214,0.006,-0.25,0.03
3.403,-0.088,-0.198,0.217,0.007,-0.42,0.03
3.437,-0.122,-0.196,0.231,0.007,-0.56,0.03
