mass_A
t,x,y
0.000000000E0,1.982912745E-1,-3.562296200E-1
3.333333333E-2,1.982802909E-1,-3.562644254E-1
6.666666667E-2,1.977937146E-1,-3.566460500E-1
1.000000000E-1,1.957400440E-1,-3.572049473E-1
1.333333333E-1,1.885743293E-1,-3.606356512E-1
1.666666667E-1,1.726132184E-1,-3.684446599E-1
2.000000000E-1,1.539675081E-1,-3.784821218E-1
2.333333333E-1,1.320540215E-1,-3.923742500E-1
2.666666667E-1,1.116857708E-1,-4.058284605E-1
3.000000000E-1,9.112093397E-2,-4.176258508E-1
3.333333333E-1,7.101221647E-2,-4.296165450E-1
3.666666667E-1,5.291046712E-2,-4.422130118E-1
4.000000000E-1,3.444279392E-2,-4.570592616E-1
4.333333333E-1,1.212282076E-2,-4.735393304E-1
4.666666667E-1,-1.341745445E-2,-4.912222770E-1
5.000000000E-1,-4.339921860E-2,-5.047479391E-1
5.333333333E-1,-7.720998150E-2,-5.151529392E-1
5.666666667E-1,-1.121314440E-1,-5.240316612E-1
6.000000000E-1,-1.436479507E-1,-5.314597538E-1
6.333333333E-1,-1.677216871E-1,-5.361389735E-1
6.666666667E-1,-1.838854758E-1,-5.381407261E-1
7.000000000E-1,-1.914587087E-1,-5.365273138E-1
7.333333333E-1,-1.922245297E-1,-5.322091968E-1
7.666666667E-1,-1.905841388E-1,-5.258389467E-1
8.000000000E-1,-1.882033015E-1,-5.151770392E-1
8.333333333E-1,-1.849410073E-1,-4.991990494E-1
8.666666667E-1,-1.799992332E-1,-4.799663700E-1
9.000000000E-1,-1.731084635E-1,-4.591246911E-1
9.333333333E-1,-1.620616253E-1,-4.388467681E-1
9.666666667E-1,-1.446580650E-1,-4.199070047E-1
1.000000000E0,-1.209134770E-1,-4.023625572E-1
1.033333333E0,-9.305399643E-2,-3.862643988E-1
1.066666667E0,-6.220258044E-2,-3.727298449E-1
1.100000000E0,-3.191493428E-2,-3.628725922E-1
1.133333333E0,2.215069919E-4,-3.561738066E-1
1.166666667E0,2.841313277E-2,-3.520255338E-1
1.200000000E0,5.268458523E-2,-3.516014779E-1
1.233333333E0,7.425222155E-2,-3.544680638E-1
1.266666667E0,9.160084088E-2,-3.617231003E-1
1.300000000E0,1.052114861E-1,-3.746664403E-1
1.333333333E0,1.183642433E-1,-3.909494162E-1
1.366666667E0,1.324647269E-1,-4.080578078E-1
1.400000000E0,1.470943790E-1,-4.241306446E-1
1.433333333E0,1.602032770E-1,-4.384855118E-1
1.466666667E0,1.717428349E-1,-4.516612848E-1
1.500000000E0,1.823590764E-1,-4.642614653E-1
1.533333333E0,1.858610847E-1,-4.765716003E-1
1.566666667E0,1.817068546E-1,-4.900858656E-1
1.600000000E0,1.684141013E-1,-5.020706131E-1
1.633333333E0,1.489893166E-1,-5.115427392E-1
1.666666667E0,1.228222514E-1,-5.207385859E-1
1.700000000E0,9.656372059E-2,-5.270868560E-1
1.733333333E0,7.112539381E-2,-5.287447824E-1
1.766666667E0,4.567590525E-2,-5.259614500E-1
