mass_A
t,x,y
0.000000000E0,1.992042505E-1,-3.649419339E-1
3.336666667E-2,1.987055307E-1,-3.638007844E-1
6.673333333E-2,1.990746464E-1,-3.623958396E-1
1.001000000E-1,1.981851424E-1,-3.589543747E-1
1.334666667E-1,1.876163861E-1,-3.439481831E-1
1.668333333E-1,1.547239524E-1,-3.303487013E-1
2.002000000E-1,1.210627868E-1,-3.087307061E-1
2.335666667E-1,8.718961276E-2,-2.788298252E-1
2.669333333E-1,5.222905501E-2,-2.440933939E-1
3.003000000E-1,1.649615310E-2,-2.168353050E-1
3.336666667E-1,-1.095904742E-2,-1.962052780E-1
3.670333333E-1,-4.555324316E-2,-1.835456877E-1
4.004000000E-1,-7.872470672E-2,-1.800517085E-1
4.337666667E-1,-1.142094009E-1,-1.872690057E-1
4.671333333E-1,-1.480645842E-1,-1.979660182E-1
5.005000000E-1,-1.780287758E-1,-2.084055554E-1
5.338666667E-1,-2.021745612E-1,-2.189428168E-1
5.672333333E-1,-2.187050393E-1,-2.298303201E-1
6.006000000E-1,-2.240874177E-1,-2.431774685E-1
6.339666667E-1,-2.156920752E-1,-2.581048066E-1
6.673333333E-1,-1.937445600E-1,-2.741989325E-1
7.007000000E-1,-1.626383191E-1,-2.864081426E-1
7.340666667E-1,-1.280053037E-1,-2.970911117E-1
7.674333333E-1,-8.957607739E-2,-3.014924412E-1
8.008000000E-1,-4.919055721E-2,-3.005304463E-1
8.341666667E-1,-5.269039635E-3,-3.042433342E-1
8.675333333E-1,3.638614878E-2,-3.057416451E-1
9.009000000E-1,8.361159671E-2,-3.029793948E-1
9.342666667E-1,1.280508965E-1,-2.970473753E-1
9.676333333E-1,1.699582159E-1,-2.890670639E-1
1.001000000E0,1.994694724E-1,-2.780410127E-1
1.034366667E0,2.152120539E-1,-2.661046646E-1
1.067733333E0,2.206026191E-1,-2.536512678E-1
1.101100000E0,2.160779919E-1,-2.404287354E-1
1.134466667E0,2.037269482E-1,-2.257553389E-1
1.167833333E0,1.806108161E-1,-2.116852209E-1
1.201200000E0,1.544040510E-1,-1.983637260E-1
1.234566667E0,1.201990798E-1,-1.902349701E-1
1.267933333E0,8.474947028E-2,-1.892463972E-1
1.301300000E0,4.614213241E-2,-1.958520657E-1
1.334666667E0,7.008995172E-3,-2.105616008E-1
1.368033333E0,-3.054904445E-2,-2.291810415E-1
1.401400000E0,-6.582826433E-2,-2.535998956E-1
1.434766667E0,-9.786697688E-2,-2.808317230E-1
1.468133333E0,-1.284213722E-1,-3.102017074E-1
1.501500000E0,-1.564413032E-1,-3.352409029E-1
1.534866667E0,-1.779099214E-1,-3.513206642E-1
1.568233333E0,-1.919876201E-1,-3.592763072E-1
1.601600000E0,-1.905518941E-1,-3.535838680E-1
1.634966667E0,-1.785233991E-1,-3.465913798E-1
1.668333333E0,-1.569166194E-1,-3.351391439E-1
1.701700000E0,-1.261614086E-1,-3.136167062E-1
1.735066667E0,-9.148941249E-2,-2.862854018E-1
1.768433333E0,-5.657897197E-2,-2.578301742E-1
1.801800000E0,-2.062324979E-2,-2.298021343E-1
1.835166667E0,1.485372319E-2,-2.075884726E-1
1.868533333E0,5.208202612E-2,-1.961359058E-1
1.901900000E0,8.895923960E-2,-1.902178785E-1
1.935266667E0,1.231467257E-1,-1.923182159E-1
1.968633333E0,1.558009473E-1,-1.997279742E-1
2.002000000E0,1.822467507E-1,-2.112891488E-1
2.035366667E0,2.049734858E-1,-2.235222779E-1
2.068733333E0,2.187613326E-1,-2.357988478E-1
2.102100000E0,2.225835010E-1,-2.483441208E-1
2.135466667E0,2.154701613E-1,-2.599028340E-1
2.168833333E0,1.976412776E-1,-2.721916846E-1
2.202200000E0,1.686556840E-1,-2.834500650E-1
2.235566667E0,1.288833563E-1,-2.931466667E-1
2.268933333E0,8.670586984E-2,-2.997745911E-1
2.302300000E0,4.152196989E-2,-3.043084289E-1
2.335666667E0,-9.492618221E-4,-3.068379189E-1
2.369033333E0,-4.354948159E-2,-3.089465214E-1
2.402400000E0,-8.506396106E-2,-3.102584607E-1
2.435766667E0,-1.251798198E-1,-3.088294117E-1
2.469133333E0,-1.628735305E-1,-3.020139223E-1
2.502500000E0,-1.929339530E-1,-2.924783159E-1
2.535866667E0,-2.122683094E-1,-2.795293974E-1
2.569233333E0,-2.203578046E-1,-2.647151069E-1
2.602600000E0,-2.159190974E-1,-2.488543906E-1
2.635966667E0,-2.011653298E-1,-2.323878216E-1
2.669333333E0,-1.762026777E-1,-2.136593339E-1
2.702700000E0,-1.508520312E-1,-2.006219248E-1
2.736066667E0,-1.208436634E-1,-1.912414005E-1
2.769433333E0,-8.751078962E-2,-1.873205322E-1
2.802800000E0,-5.303481406E-2,-1.918755339E-1
2.836166667E0,-1.651073418E-2,-2.021392039E-1
2.869533333E0,1.649147628E-2,-2.192436598E-1
2.902900000E0,5.177764488E-2,-2.438169615E-1
2.936266667E0,8.251330584E-2,-2.719673999E-1
2.969633333E0,1.138263551E-1,-3.042474805E-1
3.003000000E0,1.425522521E-1,-3.295482625E-1
3.036366667E0,1.680852704E-1,-3.501415660E-1
3.069733333E0,1.797414035E-1,-3.600197894E-1
3.103100000E0,1.806221756E-1,-3.632866489E-1
3.136466667E0,1.734016382E-1,-3.587933525E-1
3.169833333E0,1.510135614E-1,-3.450328306E-1
3.203200000E0,1.199471237E-1,-3.250414898E-1
3.236566667E0,8.731979530E-2,-2.990008224E-1
3.269933333E0,5.311834190E-2,-2.719030951E-1
3.303300000E0,1.644474758E-2,-2.446414902E-1
3.336666667E0,-1.568065282E-2,-2.212450537E-1
3.370033333E0,-5.311229510E-2,-2.070199858E-1
3.403400000E0,-8.816554467E-2,-1.982847172E-1
3.436766667E0,-1.219504561E-1,-1.959226261E-1
3.470133333E0,-1.533202247E-1,-2.003330720E-1
3.503500000E0,-1.802829165E-1,-2.081736977E-1
3.536866667E0,-2.023063706E-1,-2.182476708E-1
3.570233333E0,-2.156814386E-1,-2.288864371E-1
3.603600000E0,-2.199616222E-1,-2.399741943E-1
3.636966667E0,-2.155226969E-1,-2.514046400E-1
3.670333333E0,-1.994344176E-1,-2.630815565E-1
3.703700000E0,-1.733385921E-1,-2.750155168E-1
3.737066667E0,-1.404479128E-1,-2.845897749E-1
3.770433333E0,-1.013655345E-1,-2.930178731E-1
3.803800000E0,-5.986706459E-2,-2.996091661E-1
3.837166667E0,-1.700292889E-2,-3.052487977E-1
3.870533333E0,2.549361207E-2,-3.100906204E-1
3.903900000E0,6.867088329E-2,-3.137774771E-1
3.937266667E0,1.103707516E-1,-3.145141110E-1
3.970633333E0,1.492128544E-1,-3.107478674E-1
4.004000000E0,1.760481119E-1,-3.041199575E-1
4.037366667E0,2.011251092E-1,-2.921841014E-1
4.070733333E0,2.110244423E-1,-2.774156798E-1
4.104100000E0,2.092983759E-1,-2.609387406E-1
4.137466667E0,1.963691169E-1,-2.438094186E-1
4.170833333E0,1.757237064E-1,-2.259918292E-1
4.204200000E0,1.481332616E-1,-2.074997364E-1
4.237566667E0,1.169230033E-1,-1.951551585E-1
4.270933333E0,8.341725431E-2,-1.892500486E-1
4.304300000E0,4.744496653E-2,-1.888956882E-1
4.337666667E0,1.188069766E-2,-1.971188777E-1
4.371033333E0,-2.105174940E-2,-2.120514870E-1
4.404400000E0,-5.249776924E-2,-2.334679500E-1
4.437766667E0,-8.429350267E-2,-2.664736908E-1
4.471133333E0,-1.118654268E-1,-2.923401914E-1
4.504500000E0,-1.399773262E-1,-3.189597241E-1
4.537866667E0,-1.649222466E-1,-3.391912621E-1
4.571233333E0,-1.820421768E-1,-3.512906031E-1
4.604600000E0,-1.873959149E-1,-3.571431432E-1
4.637966667E0,-1.785990005E-1,-3.562608134E-1
4.671333333E0,-1.571164967E-1,-3.473649140E-1
4.704700000E0,-1.291963934E-1,-3.302468765E-1
4.738066667E0,-9.826766864E-2,-3.067069299E-1
4.771433333E0,-6.748474883E-2,-2.804557614E-1
4.804800000E0,-3.410010936E-2,-2.538973192E-1
4.838166667E0,2.524389425E-4,-2.318854805E-1
4.871533333E0,3.679996633E-2,-2.152631643E-1
4.904900000E0,7.386131242E-2,-2.050503712E-1
4.938266667E0,1.093959947E-1,-1.995748655E-1
4.971633333E0,1.418786969E-1,-1.993023009E-1
5.005000000E0,1.696485984E-1,-2.045790726E-1
5.038366667E0,1.908453127E-1,-2.131573269E-1
5.071733333E0,2.062908189E-1,-2.233392479E-1
5.105100000E0,2.119501636E-1,-2.346343508E-1
5.138466667E0,2.086014193E-1,-2.455486283E-1
5.171833333E0,1.942366499E-1,-2.576630337E-1
5.205200000E0,1.711314416E-1,-2.690330169E-1
5.238566667E0,1.394830614E-1,-2.793726105E-1
5.271933333E0,1.014468227E-1,-2.885729881E-1
5.305300000E0,5.887154364E-2,-2.959938630E-1
5.338666667E0,1.446440930E-2,-3.022806320E-1
5.372033333E0,-2.623570831E-2,-3.071012819E-1
5.405400000E0,-6.723869601E-2,-3.104456514E-1
5.438766667E0,-1.049530120E-1,-3.117626674E-1
5.472133333E0,-1.394133451E-1,-3.099800408E-1
5.505500000E0,-1.688233979E-1,-3.040209203E-1
5.538866667E0,-1.910897665E-1,-2.938067201E-1
