3.102,0.100,-0.471,0.482,0.006,0.21,0.01
3.135,0.076,-0.454,0.460,0.006,0.17,0.01
3.168,0.052,-0.436,0.439,0.006,0.12,0.01
3.202,0.028,-0.418,0.419,0.005,0.07,0.01
3.235,0.004,-0.401,0.401,0.005,0.01,0.01
3.268,-0.018,-0.387,0.387,0.005,-0.05,0.01
3.302,-0.042,-0.375,0.378,0.006,-0.11,0.01
3.335,-0.064,-0.368,0.373,0.006,-0.17,0.02
3.368,-0.088,-0.363,0.373,0.006,-0.24,0.02
3.402,-0.110,-0.362,0.378,0.006,-0.30,0.02
3.435,-0.131,-0.363,0.386,0.006,-0.35,0.02
3.468,-0.150,-0.367,0.396,0.007,-0.39,0.02
3.502,-0.168,-0.373,0.409,0.007,-0.42,0.02
3.535,-0.184,-0.382,0.424,0.007,-0.45,0.02
3.568,-0.194,-0.393,0.438,0.007,-0.46,0.02
3.602,-0.200,-0.405,0.452,0.007,-0.46,0.01
3.635,-0.201,-0.419,0.465,0.007,-0.45,0.01
3.668,-0.197,-0.433,0.476,0.007,-0.43,0.01
3.702,-0.189,-0.447,0.485,0.007,-0.40,0.01
3.735,-0.177,-0.460,0.493,0.006,-0.37,0.01
3.768,-0.163,-0.473,0.500,0.006,-0.33,0.01
3.802,-0.145,-0.485,0.506,0.006,-0.29,0.01
3.835,-0.125,-0.495,0.511,0.006,-0.25,0.01
3.868,-0.103,-0.504,0.514,0.006,-0.20,0.01
3.902,-0.078,-0.512,0.518,0.006,-0.15,0.01
3.935,-0.050,-0.517,0.520,0.005,-0.10,0.01
3.968,-0.020,-0.520,0.520,0.005,-0.04,0.01
4.002,0.008,-0.520,0.520,0.005,0.02,0.01
4.035,0.038,-0.518,0.519,0.005,0.07,0.01
4.068,0.066,-0.514,0.518,0.006,0.13,0.01
4.102,0.091,-0.508,0.516,0.006,0.18,0.01
4.135,0.113,-0.500,0.513,0.006,0.22,0.01
4.168,0.133,-0.491,0.508,0.006,0.27,0.01
