0.000,0.178,-0.371,0.412,0.007,0.45,0.02
0.033,0.178,-0.371,0.412,0.007,0.45,0.02
0.067,0.178,-0.371,0.412,0.007,0.45,0.02
0.100,0.178,-0.371,0.412,0.007,0.45,0.02
0.133,0.178,-0.371,0.412,0.007,0.45,0.02
0.167,0.178,-0.371,0.412,0.007,0.45,0.02
0.200,0.177,-0.370,0.410,0.007,0.45,0.02
0.233,0.170,-0.367,0.404,0.007,0.44,0.02
0.267,0.158,-0.362,0.395,0.007,0.41,0.02
0.300,0.139,-0.358,0.384,0.006,0.37,0.02
0.333,0.117,-0.351,0.370,0.006,0.32,0.02
0.368,0.094,-0.344,0.357,0.006,0.27,0.02
0.402,0.068,-0.338,0.345,0.006,0.20,0.02
0.435,0.041,-0.333,0.335,0.006,0.12,0.02
0.468,0.011,-0.329,0.329,0.005,0.03,0.02
0.502,-0.017,-0.327,0.327,0.005,-0.05,0.02
0.535,-0.049,-0.327,0.330,0.006,-0.15,0.02
0.568,-0.079,-0.328,0.337,0.006,-0.24,0.02
0.602,-0.107,-0.331,0.348,0.006,-0.31,0.02
0.635,-0.130,-0.336,0.360,0.006,-0.37,0.02
0.668,-0.150,-0.341,0.372,0.007,-0.42,0.02
0.702,-0.166,-0.346,0.383,0.007,-0.45,0.02
0.735,-0.178,-0.350,0.393,0.007,-0.47,0.02
0.768,-0.185,-0.353,0.399,0.007,-0.48,0.02
0.802,-0.186,-0.356,0.402,0.007,-0.48,0.02
0.835,-0.182,-0.358,0.401,0.007,-0.47,0.02
0.868,-0.171,-0.360,0.398,0.007,-0.44,0.02
0.902,-0.154,-0.361,0.392,0.007,-0.40,0.02
0.935,-0.133,-0.361,0.385,0.006,-0.35,0.02
0.968,-0.108,-0.360,0.376,0.006,-0.29,0.02
1.002,-0.081,-0.358,0.367,0.006,-0.22,0.02
1.035,-0.052,-0.356,0.360,0.006,-0.15,0.02
1.068,-0.023,-0.355,0.355,0.005,-0.07,0.01
1.102,0.007,-0.354,0.354,0.005,0.02,0.01
1.135,0.038,-0.355,0.357,0.006,0.11,0.02
1.168,0.068,-0.355,0.362,0.006,0.19,0.02
1.202,0.095,-0.356,0.369,0.006,0.26,0.02
1.235,0.119,-0.357,0.376,0.006,0.32,0.02
1.268,0.140,-0.357,0.383,0.006,0.37,0.02
1.302,0.155,-0.356,0.388,0.007,0.41,0.02
1.335,0.164,-0.355,0.391,0.007,0.43,0.02
1.368,0.169,-0.353,0.391,0.007,0.45,0.02
1.402,0.168,-0.350,0.389,0.007,0.45,0.02
