mass_A
t,x,y
3.336666667E0,-1.271208178E-1,-3.399703926E-1
3.370000000E0,-1.029190158E-1,-3.351761683E-1
3.403333333E0,-7.659591937E-2,-3.313158047E-1
3.436666667E0,-4.880055626E-2,-3.295296969E-1
3.470000000E0,-1.979838410E-2,-3.297122534E-1
3.503333333E0,7.671346357E-3,-3.319522694E-1
3.536666667E0,3.830147104E-2,-3.359648039E-1
3.570000000E0,6.568668968E-2,-3.414458879E-1
3.603333333E0,9.067004977E-2,-3.488613453E-1
3.636666667E0,1.127590534E-1,-3.564902890E-1
3.670000000E0,1.323236304E-1,-3.633207656E-1
3.703333333E0,1.479404394E-1,-3.688933922E-1
3.736666667E0,1.580687743E-1,-3.737817896E-1
3.770000000E0,1.618167879E-1,-3.772924402E-1
3.803333333E0,1.603603277E-1,-3.790186601E-1
3.836666667E0,1.536997555E-1,-3.790681445E-1
3.870000000E0,1.411224145E-1,-3.774561994E-1
3.903333333E0,1.238191059E-1,-3.739707210E-1
3.936666667E0,1.027530657E-1,-3.692181956E-1
3.970000000E0,7.886424051E-2,-3.634821914E-1
4.003333333E0,5.174829571E-2,-3.575395236E-1
4.036666667E0,2.591000078E-2,-3.519955859E-1
4.070000000E0,-6.873218822E-3,-3.485152845E-1
4.103333333E0,-3.609944762E-2,-3.447191607E-1
4.136666667E0,-6.461981037E-2,-3.420239917E-1
4.170000000E0,-9.143496943E-2,-3.408808225E-1
4.203333333E0,-1.161604522E-1,-3.407538575E-1
4.236666667E0,-1.380911156E-1,-3.412112969E-1
4.270000000E0,-1.566511062E-1,-3.419738525E-1
4.303333333E0,-1.710429782E-1,-3.428723556E-1
4.336666667E0,-1.803887648E-1,-3.435037715E-1
4.370000000E0,-1.843937678E-1,-3.440060735E-1
4.403333333E0,-1.825426548E-1,-3.446896178E-1
4.436666667E0,-1.752545889E-1,-3.452015529E-1
4.470000000E0,-1.627912709E-1,-3.452874130E-1
4.503333333E0,-1.458805991E-1,-3.451672555E-1
4.536666667E0,-1.246728818E-1,-3.453103121E-1
4.570000000E0,-1.007041753E-1,-3.455963093E-1
4.603333333E0,-7.449102721E-2,-3.467499683E-1
4.636666667E0,-4.625809067E-2,-3.487251414E-1
4.670000000E0,-1.722672420E-2,-3.513734581E-1
4.703333333E0,9.115245777E-3,-3.552840838E-1
4.736666667E0,4.161021935E-2,-3.588031306E-1
4.770000000E0,6.918912511E-2,-3.630434548E-1
4.803333333E0,9.432431595E-2,-3.675663791E-1
4.836666667E0,1.161138683E-1,-3.712382354E-1
4.870000000E0,1.348775166E-1,-3.735761864E-1
4.903333333E0,1.494327870E-1,-3.746181858E-1
4.936666667E0,1.582279403E-1,-3.740035059E-1
4.971666667E0,1.612533893E-1,-3.719504427E-1
5.005000000E0,1.591537101E-1,-3.684611298E-1
5.038333333E0,1.515592807E-1,-3.636766175E-1
5.071666667E0,1.383681679E-1,-3.578875608E-1
5.105000000E0,1.207655383E-1,-3.513490112E-1
5.138333333E0,9.988853002E-2,-3.445445358E-1
5.171666667E0,7.618340953E-2,-3.379900562E-1
5.205000000E0,4.982581122E-2,-3.323506307E-1
5.238333333E0,2.552988589E-2,-3.289402357E-1
5.271666667E0,-5.841659018E-3,-3.276747942E-1
5.305000000E0,-3.344118481E-2,-3.278311160E-1
5.338333333E0,-6.115694952E-2,-3.303113749E-1
5.371666667E0,-8.781827143E-2,-3.346359648E-1
5.405000000E0,-1.125303592E-1,-3.400776299E-1
5.438333333E0,-1.347883021E-1,-3.461158709E-1
5.471666667E0,-1.533848015E-1,-3.523090433E-1
5.505000000E0,-1.677810956E-1,-3.580963324E-1
5.538333333E0,-1.770907810E-1,-3.630885858E-1
5.571666667E0,-1.810373721E-1,-3.672744598E-1
5.605000000E0,-1.790981760E-1,-3.706510029E-1
5.638333333E0,-1.717071399E-1,-3.723174114E-1
5.671666667E0,-1.587421328E-1,-3.725440291E-1
5.705000000E0,-1.412630567E-1,-3.714308523E-1
5.738333333E0,-1.198119364E-1,-3.691538826E-1
5.771666667E0,-9.500398722E-2,-3.660490598E-1
5.805000000E0,-6.762342160E-2,-3.628213983E-1
5.838333333E0,-3.880072833E-2,-3.595134969E-1
5.871666667E0,-9.487552428E-3,-3.563840021E-1
5.905000000E0,2.280773809E-2,-3.541838412E-1
5.938333333E0,5.022432384E-2,-3.526079663E-1
5.971666667E0,7.740356370E-2,-3.517995669E-1
6.005000000E0,1.011328800E-1,-3.517631067E-1
6.038333333E0,1.221197192E-1,-3.517057956E-1
6.071666667E0,1.402857672E-1,-3.510515594E-1
6.105000000E0,1.541048372E-1,-3.502704183E-1
6.138333333E0,1.622116937E-1,-3.492585695E-1
6.171666667E0,1.647629136E-1,-3.481027444E-1
6.205000000E0,1.622061455E-1,-3.468109861E-1
6.238333333E0,1.544062818E-1,-3.453412727E-1
